Molecule Name,SMILES
MIPS-0056574,O=C1N2N(CCC2)C2=C1C(C1=CC=C(C(NCC3=CC=C(F)C(F)=C3)=O)S1)C(C(OCC)=O)=C(C)N2
MIPS-0056569,O=C1N2N(CCC2)C2=C1C(C1=CC=C(C(NCC3=CC=C(F)C(F)=C3)=O)S1)=C(C(OCC)=O)C(C)=N2
MIPS-0054475,O=C(OCC)C1=C(C)N=C(CCC2=CC=C(F)C=C2)C=C1C1=CC=C(C(NCC2=CC(F)=C(F)C=C2)=O)C=C1
MIPS-0054474,O=C(OCC)C1=C(C)N=C(Cl)C=C1C1=CC=C(C(NCC2=CC(F)=C(F)C=C2)=O)C=C1
MIPS-0054473,O=C(N(C)C)C1=CN=C(Cl)C=C1C1=CC=C(C(NCC2=CC(F)=C(F)C=C2)=O)C=C1
MIPS-0054472,NC(C1=CN=C(CCC(C)C)C=C1C1=CC=C(C(NCC2=CC(F)=C(F)C=C2)=O)C=C1)=O
MIPS-0054471,OC(C1=CN=C2C(=C1C1=CC=C(C(NCC3=CC(F)=C(F)C=C3)=O)C=C1)C=CC=C2)=O
MIPS-0054470,NC(C1=CN=C2C(=C1C1=CC=C(C(NCC3=CC(F)=C(F)C=C3)=O)C=C1)C=CC=C2)=O
MIPS-0052196,FC1=CC=C(CCC2=C(C3=NC(C)=NO3)C(C3=CC=C(C(NCC4=CN=CC=C4)=O)S3)=C3C(=O)N4N(CCC4)C3=N2)C=C1
MIPS-0052195,FC1=CC=C(CCC2=C(C3=NC(C)=NO3)C(C3=CC=C(C(NCC4=CN(C)N=C4)=O)S3)=C3C(=O)N4N(CCC4)C3=N2)C=C1
MIPS-0052113,FC1=CC=C(CCC2=C(C3=NC(C)=NO3)C(C3=CC=C(C(NCC4=CC(F)=C(F)C=C4)=O)S3)=C3C(=O)N4N(CCC4)C3=N2)C=C1
MIPS-0052101,FC1=CC=C(CCC2=C(C3=NC(C)=NO3)C(C3=CC=C(C(NCC4CC4)=O)S3)=C3C(=O)N4N(CCC4)C3=N2)C=C1
MIPS-0051677,O=C(O)C1=CC=C(C2=C3C(=O)N4N(CCC4)C3=NC(CCC3=CC=C(F)C=C3)=C2C2=NC(C)=NO2)S1
MIPS-0051676,O=C(O)C1=CC=C(C2C3=C(N4N(C3=O)CCC4)NC(CCC3=CC=C(F)C=C3)=C2C2=NC(C)=NO2)S1
MIPS-0051619,CC1=C(C2=NC(C)=NO2)C(C2=CC=C(C(O)=O)S2)=C2C(=O)N3N(CCC3)C2=N1
MIPS-0051618,O=C(O)C1=CC=C(C2C3=C(N4N(C3=O)CCC4)NC(C)=C2C2=NC(C)=NO2)S1
MIPS-0051560,O=C(OCC)C1=C(CCC2=CC=C(F)C=C2)NC2=C(C(=O)NN2C(C)C)C1C1=CC=C(C(O)=O)S1
MIPS-0051538,O=C(OCC)C1=C(CCC2=CC=C(F)C=C2)NC2=C(C(=O)NN2)C1C1=CC=C(C(O)=O)S1
MIPS-0051457,CCOC(=O)C1=C(C)N=C(C)C(C(=O)OCC)=C1C1=CC=CC=C1
MIPS-0051456,CCOC(=O)c1c(C)nc(C)c(C(=O)OCC)c1-c1cccc(NC(=O)c2ccc(F)cc2)c1
MIPS-0051455,CCOC(=O)c1c(C)nc2c(c1-c1ccccc1)C(=O)CCC2
MIPS-0051454,CCOC(=O)c1c(C)nc2c(c1-c1ccccc1)C(=O)CC(C)(C)C2
MIPS-0051453,CCOC(=O)C1=C(C)N=C2C(=C1C1=CC=CC=C1)C(=O)C1=CC=CC=C21
MIPS-0051452,CCOC(=O)C1=C(C2=CC=CO2)C2=C(N=C1C)C1=C(O2)C=CC=C1
MIPS-0051291,O=C1N2N(CCC2)C2=C1C(C1=CC=C(C(NCC3=CC=C(F)C(F)=C3)=O)S1)C(C(OCC)=O)=C(CCC1=CC=C(F)C=C1)N2
MIPS-0051288,O=C(O)C1=CN=C(NCC(C)C)C=C1C1=CC=C(C(NCC2=CC(F)=C(F)C=C2)=O)C=C1
MIPS-0051286,O=C1N2N(CCC2)C2=C1C(C1=CC=C(C(NCC3=CC=CN=C3)=O)S1)=C(C(OCC)=O)C(CCC1=CC=C(F)C=C1)=N2
MIPS-0051285,NC(C1=CN=C(CCC2=CC=C(F)C=C2)C=C1N1C=C(C(NCC2=CC=C(F)C(F)=C2)=O)C=N1)=O
MIPS-0051284,NC(C1=CN=C(CCC2=CC=C(F)C=C2)C=C1N1CCN(C(NCC2=CC(F)=C(F)C=C2)=O)CC1)=O
MIPS-0051283,NC(C1=CN=C(CCC2=CC=C(F)C=C2)C=C1C1=CC=C(C(NCC2=CC(F)=C(F)C=C2)=O)C=C1)=O
MIPS-0051282,ClC1=NC=C(C(N)=O)C(C2=CC=C(C(NCC3=CC(F)=C(F)C=C3)=O)C=C2)=C1
MIPS-0051281,O=C(NCC1CC1)C1=CN=C(CCC2=CC=C(F)C=C2)C=C1C1=CC=C(C(NCC2=CC(F)=C(F)C=C2)=O)C=C1
MIPS-0051280,O=C(O)C1=CN=C(CCC2=CC=C(F)C=C2)C=C1C1=CC=C(C(NCC2=CC(F)=C(F)C=C2)=O)C=C1
MIPS-0051279,O=C(NC(C)C)C1=CN=C(CCC2=CC=C(F)C=C2)C=C1C1=CC=C(C(NCC2=CC(F)=C(F)C=C2)=O)C=C1
MIPS-0051278,O=C(NCC1=CC=C(F)C(F)=C1)C1=CC=C(C2=CC(NCC(C)C)=NC=C2C(OC)=O)C=C1
MIPS-0051277,O=C(OC)C1=CN=C(CCC2=CC=C(F)C=C2)C=C1C1=CC=C(C(NCC2=CC(F)=C(F)C=C2)=O)C=C1
MIPS-0051276,O=C1N2N(CCC2)C2=C1C(C1=CC=C(C(NCC3CCN(C)CC3)=O)S1)=C(C(OCC)=O)C(CCC1=CC=C(F)C=C1)=N2
MIPS-0051275,O=C1N2N(CCC2)C2=C1C(C1=CC=C(C(NCC3=CN(C)N=C3)=O)S1)=C(C(OCC)=O)C(CCC1=CC=C(F)C=C1)=N2
MIPS-0051274,O=C1N2N(CCC2)C2=C1C(C1=CC=C(C(NCC3CCCCC3)=O)S1)=C(C(OCC)=O)C(CCC1=CC=C(F)C=C1)=N2
MIPS-0051273,O=C(NCC1=CC=C(F)C(F)=C1)C1=CC=C(C2=CC(Cl)=NC=C2C(OCC)=O)C=C1
MIPS-0051272,O=C(NCC1=CC=C(F)C(F)=C1)C1=CC=C(C2=CC(Cl)=NC=C2C(OC)=O)C=C1
MIPS-0051271,NC(C1=CN=C(NCC2=CC=C(F)C=C2)C=C1N1N=C(C(NCC2=CC=C(F)C(F)=C2)=O)C=C1)=O
MIPS-0051270,ClC1=NC=C(C(N)=O)C(N2CCN(C(NCC3=CC(F)=C(F)C=C3)=O)CC2)=C1
MIPS-0051269,O=C(OC)C1=CN=C(CCC2=CC=CC=C2)C=C1C1=CC=C(C(NCC2=CC(F)=C(F)C=C2)=O)C=C1
MIPS-0051268,O=C(NCC1=CC=C(F)C(F)=C1)C1=CC=C(C2=CC(Cl)=NC=C2C(O)=O)C=C1
MIPS-0051266,OC1=CC=C(CN2CCN(C(NC3=CC(C(F)(F)F)=CC=C3)=O)CC2)C=C1OC
MIPS-0051265,ClC1=NC=C(C(N)=O)C(N2C=C(C(NCC3=CC=C(F)C(F)=C3)=O)C=N2)=C1
MIPS-0051264,ClC1=NC=C(C(N)=O)C(N2N=C(C(NCC3=CC=C(F)C(F)=C3)=O)C=C2)=C1
MIPS-0051263,O=C1N2N(CCC2)C2=C1C(C1=CC=C(C(NCC3=CC=C(F)C(F)=C3)=O)S1)=C(C(OCC)=O)C(CCC1=CC=C(F)C=C1)=N2
MIPS-0051262,O=C1N2N(CCC2)C2=C1C(C1=CC=C(C(O)=O)S1)=C(C(OCC)=O)C(CCC1=CC=C(F)C=C1)=N2
MIPS-0051261,O=C1N2N(CCC2)C2=C1C(C1=CC=C(C(O)=O)S1)C(C(OCC)=O)=C(CCC1=CC=C(F)C=C1)N2
