Molecule Name,SMILES
MIPS-0057073,C(C(C1=C(C2=CC=C(C(NCC3=CC(F)=C(F)C=C3)=O)S2)C(C2=NN=C(C)O2)=C(CCC2=CC=C(F)C=C2)N=C1CC(C)C)=O)C(C)C
MIPS-0056952,FC1=CC=C(CCC2=NC(CC(C)C)=C(C(N)=O)C(C3=CC=C(C(NCC4=CC=C(F)C(F)=C4)=O)S3)=C2COC)C=C1
MIPS-0056932,COC1=C2C(=CC=C1)[C@@H](NC(C1=CC=C(C3=C(C4=NN=C(C)O4)C(CCC4=CC=C(F)C=C4)=NC(CC(C)C)=C3C(N)=O)S1)=O)CC2
MIPS-0056911,FC1=CC=C(CCC2=NC(CC(C)C)=C(C(N)=O)C(C3=CC=C(C(NCC4=CN=CC=C4)=O)C=C3)=C2)C=C1
MIPS-0056908,COC1=C2C(=CC=C1)C(NC(C1=CC=C(C3=C(C4=NN=C(C)O4)C(CCC4=CC=C(F)C=C4)=NC(CC(C)C)=C3C(N)=O)S1)=O)CC2
MIPS-0056835,FC1=CC=C(CCC2=NC(CC(C)C)=C(C(N)=O)C(C3=CC=C(C(NCC4=CC=C(F)C(F)=C4)=O)S3)=C2CO)C=C1
MIPS-0056806,COC1=C2C(=CC=C1)[C@H](NC(C1=CC=C(C3C(C(N)=O)=C(CC(C)C)NC(CCC4=CC=C(F)C=C4)=C3C3=NN=C(C)O3)S1)=O)CC2
MIPS-0056781,FC1=CC=C(CCC2=NC(CC(C)C)=C(C(N)=O)C(C3=CC=C(C(NCC4=CC=C(F)C(F)=C4)=O)S3)=C2C(O)=O)C=C1
MIPS-0056780,COC1=C2C(=CC=C1)[C@H](NC(C1=CC=C(C3=C(C4=NN=C(C)O4)C(CCC4=CC=C(F)C=C4)=NC(CC(C)C)=C3C(N)=O)S1)=O)CC2
MIPS-0056756,O=C(NCC1=CC(F)=C(F)C=C1)C1=CC=C(C2C(C(N)=O)=C(CC(C)C)NC(CCC3=CC=C(F)C=C3)=C2C(OCC)=O)S1
MIPS-0056755,FC1=CC=C(CCC2=NC(CC(C)C)=C(C(N)=O)C(C3=CC=C(C(NCC4=CC=C(F)C(F)=C4)=O)S3)=C2C(OCC)=O)C=C1
MIPS-0056752,FC1=CC=C(CCC2=NC(CC(C)C)=C(C(N)=O)C(C3=CC=C(C(OC)=O)C=C3)=C2)C=C1
MIPS-0056738,O=C(NCC1=CN=CC=C1)C1=CC=C(C2=C(C(OCC)=O)C(CCOCC3=CC=CC=C3)=NC(CC(C)C)=C2C(N)=O)C=C1
MIPS-0056497,FC1=CC=C(CCC2=C(C(OCC)=O)C(C3=CC=C(C(NCC4=CN=CC=C4)=O)C=C3)C(C(N)=O)=C(CC(C)C)N2)C=C1
MIPS-0056496,FC1=CC=C(CCC2=NC(CC(C)C)=C(C(N)=O)C(C3=CC=C(C(NCC4=CN=CC=C4)=O)C=C3)=C2C(OCC)=O)C=C1
